,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame,FNO,Date1
121,121,Donald Trump,DTr,07-Sep-20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_11,11,07-Sep-20
122,122,Donald Trump,DTr,07-Sep-20,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_12,12,07-Sep-20
123,123,Donald Trump,DTr,07-Sep-20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_13,13,07-Sep-20
124,124,Donald Trump,DTr,07-Sep-20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_14,14,07-Sep-20
125,125,Donald Trump,DTr,07-Sep-20,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_15,15,07-Sep-20
126,126,Donald Trump,DTr,07-Sep-20,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_16,16,07-Sep-20
127,127,Donald Trump,DTr,07-Sep-20,17,0.0,0.0,0.0,0.0,0.0,0.0,0.07467378272722147,0.0,0.0,6,07-Sep-20_Frame_17,17,07-Sep-20
128,128,Donald Trump,DTr,07-Sep-20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_18,18,07-Sep-20
129,129,Donald Trump,DTr,07-Sep-20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_19,19,07-Sep-20
130,130,Donald Trump,DTr,07-Sep-20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_20,20,07-Sep-20
131,131,Donald Trump,DTr,07-Sep-20,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2716326564931037,0.0,7,07-Sep-20_Frame_21,21,07-Sep-20
132,132,Donald Trump,DTr,07-Sep-20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_22,22,07-Sep-20
133,133,Donald Trump,DTr,07-Sep-20,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_23,23,07-Sep-20
134,134,Donald Trump,DTr,07-Sep-20,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_24,24,07-Sep-20
135,135,Donald Trump,DTr,07-Sep-20,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_25,25,07-Sep-20
136,136,Donald Trump,DTr,07-Sep-20,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_26,26,07-Sep-20
137,137,Donald Trump,DTr,07-Sep-20,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_27,27,07-Sep-20
138,138,Donald Trump,DTr,07-Sep-20,28,0.0,0.0,0.0,0.0,0.0,0.1477257228951241,0.0,0.0,0.0,5,07-Sep-20_Frame_28,28,07-Sep-20
139,139,Donald Trump,DTr,07-Sep-20,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_29,29,07-Sep-20
140,140,Donald Trump,DTr,07-Sep-20,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_30,30,07-Sep-20
141,141,Donald Trump,DTr,07-Sep-20,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_31,31,07-Sep-20
142,142,Donald Trump,DTr,07-Sep-20,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Sep-20_Frame_32,32,07-Sep-20
143,143,Donald Trump,DTr,04-Jul-20,1,0.3021565570938939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,04-Jul-20_Frame_1,1,04-Jul-20
144,144,Donald Trump,DTr,04-Jul-20,2,0.28442194296524625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,04-Jul-20_Frame_2,2,04-Jul-20
145,145,Donald Trump,DTr,04-Jul-20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06464945144039319,0.0,7,04-Jul-20_Frame_3,3,04-Jul-20
146,146,Donald Trump,DTr,04-Jul-20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,04-Jul-20_Frame_4,4,04-Jul-20
147,147,Donald Trump,DTr,04-Jul-20,5,0.23853951753425884,0.0,0.0,0.03639394516294653,0.0,0.0,0.0,0.0,0.0,0,04-Jul-20_Frame_5,5,04-Jul-20
148,148,Donald Trump,DTr,04-Jul-20,6,0.0,0.031788068689858014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,04-Jul-20_Frame_6,6,04-Jul-20
149,149,Donald Trump,DTr,04-Jul-20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,04-Jul-20_Frame_7,7,04-Jul-20
150,150,Donald Trump,DTr,04-Jul-20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,04-Jul-20_Frame_8,8,04-Jul-20
